size,errGaussGFloat,errGaussPGFloat,errGaussFGFloat,errGaussGDouble,errGaussPGDouble,errGaussFGDouble
25,9.585917E-6,3.79771E-6,1.5096827,2.4488758243457196E-13,4.11073952655272E-15,2.2385965524520346
50,9.055361E-6,3.073549E-5,5.707887,1.8707290924679932E-13,5.202830007100534E-13,2.1646522796573144
75,2.0280415E-5,1.2593583E-5,7.275062,1.1386132777365296E-13,9.985517042861622E-14,15.810241601067098
100,5.43612E-4,1.806872E-5,25.565336,3.119774057147584E-13,4.545412657375181E-14,66.88466307614985
125,2.5001017E-4,5.3336465E-5,24.422915,5.302098447790283E-13,7.893259240665529E-13,87.44464514847114
150,0.0028786978,1.0678035E-4,147.15758,4.836532100741901E-13,1.9785710107337688E-13,2535.403180367116
175,3.6937953E-4,6.940993E-5,217.70044,2.7295175841768327E-12,3.2840615346188937E-12,566.6988418874173
200,1.3816622E-4,0.001168391,2448.9153,4.0042233905805E-13,1.9039607943634879E-13,2258.733911781688
225,9.3181E-4,1.1076576E-4,1040.2734,1.2120536634537457E-12,1.4758011845762543E-12,6490.787518798055
250,2.519607E-4,0.0011681883,1862.5488,4.99886217836254E-12,1.8835275006345852E-13,5936.31297121188
275,0.0015067603,1.4953599E-4,11287.512,5.6542415178601425E-12,3.654410557307248E-12,4354.682250597585
300,8.574051E-4,2.165104E-4,10661.991,3.0531311982007087E-12,8.861574561892909E-13,35059.876221109815
325,0.020672766,0.010238436,100348.945,6.598997387525955E-12,1.3147282001061069E-12,136892.6353885001
350,0.0019528937,3.2561118E-4,12331.932,2.756906464031404E-12,4.543001176018318E-11,58046.49063765067
375,8.8609965E-4,4.7253823E-4,299873.97,6.890387780021194E-12,3.0779945837481706E-12,1.0738209316082872E7
400,0.0043288884,0.0012464083,133665.55,1.2966255077007798E-12,6.261414260341769E-13,1768715.9566709888
425,4.0655758E-4,2.1238643E-4,256699.69,3.5796008906202278E-12,1.1435414980139302E-11,133951.34166279243
450,0.0017556135,0.0023150537,1434475.2,8.148409078073374E-12,1.5176288871432408E-12,4357296.931971427
475,8.990666E-4,1.3870336E-4,301059.97,1.6734368034014788E-10,6.556416616675036E-12,3063685.254268405
500,0.024981841,0.0039876727,1.0585055E7,2.3919412637464413E-9,2.1989443909405798E-11,1.4963780727743795E7
